State,Site_Name,Category,Year_Built,Visitors_Per_Year,Popularity,Best_Month_To_Visit,UNESCO_World_Heritage,District,Nearest_City,Latitude,Longitude,Entry_Fee_INR,Description,Festival,Famous_Art,Art_Description
Madhya Pradesh,Gwalior Fort,Fort,967,1317852,High,November to January,Yes,Gwalior,Gwalior,26.215,78.193,23,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Tamil Nadu,Brihadeeswarar Temple,Fort,891,68708,Low,February to April,No,Chennai,Chennai,10.7828,79.1316,87,Famous for its intricate carvings and historical relevance.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Madhya Pradesh,Gwalior Fort,Fort,633,1868744,High,October to December,Yes,Gwalior,Gwalior,26.215,78.193,102,A popular tourist destination and UNESCO site.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Madhya Pradesh,Gwalior Fort,Temple,1815,1999664,High,July to September,No,Gwalior,Gwalior,26.215,78.193,212,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Karnataka,Mysore Palace,Monument,1420,1929157,High,July to September,Yes,Mysuru,Mysuru,12.3052,76.6552,307,A historic site known for its architectural beauty.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Karnataka,Mysore Palace,Temple,1718,671416,Medium,December to February,Yes,Mysuru,Mysuru,12.3052,76.6552,44,A historic site known for its architectural beauty.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Odisha,Konark Sun Temple,Museum,1762,1040844,High,April to June,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,122,An ancient structure that reflects traditional craftsmanship.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Uttar Pradesh,Taj Mahal,Museum,1134,377298,Medium,January to March,Yes,Agra,Agra,27.1751,78.0421,184,A cultural landmark with centuries-old heritage.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Tamil Nadu,Brihadeeswarar Temple,Monument,1614,74248,Low,August to October,No,Chennai,Chennai,10.7828,79.1316,147,A historic site known for its architectural beauty.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Madhya Pradesh,Gwalior Fort,Temple,656,449133,Medium,February to April,Yes,Gwalior,Gwalior,26.215,78.193,147,An ancient structure that reflects traditional craftsmanship.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Uttar Pradesh,Taj Mahal,Fort,578,1527077,High,June to August,No,Agra,Agra,27.1751,78.0421,350,Famous for its intricate carvings and historical relevance.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Gujarat,Rani ki Vav,Fort,701,647818,Medium,November to January,Yes,Ahmedabad,Ahmedabad,23.8594,72.1343,95,An ancient structure that reflects traditional craftsmanship.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Maharashtra,Ajanta Caves,Fort,820,1538076,High,August to October,No,Mumbai,Mumbai,20.5526,75.7033,149,An ancient structure that reflects traditional craftsmanship.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Tamil Nadu,Brihadeeswarar Temple,Temple,781,590231,Medium,April to June,No,Chennai,Chennai,10.7828,79.1316,354,A cultural landmark with centuries-old heritage.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Odisha,Konark Sun Temple,Museum,931,1442180,High,December to February,Yes,Bhubaneswar,Bhubaneswar,19.8876,86.0945,341,A cultural landmark with centuries-old heritage.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Tamil Nadu,Brihadeeswarar Temple,Monument,974,877896,Medium,June to August,No,Chennai,Chennai,10.7828,79.1316,22,An ancient structure that reflects traditional craftsmanship.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Madhya Pradesh,Gwalior Fort,Museum,1585,872674,Medium,October to December,No,Gwalior,Gwalior,26.215,78.193,431,A popular tourist destination and UNESCO site.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Karnataka,Mysore Palace,Monument,1113,1845260,High,June to August,Yes,Mysuru,Mysuru,12.3052,76.6552,63,An ancient structure that reflects traditional craftsmanship.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Rajasthan,Amber Fort,Fort,1413,1981442,High,May to July,No,Jaipur,Jaipur,26.9855,75.85,114,An ancient structure that reflects traditional craftsmanship.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Uttar Pradesh,Taj Mahal,Monument,1872,1059326,High,October to December,No,Agra,Agra,27.1751,78.0421,78,A historic site known for its architectural beauty.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Odisha,Konark Sun Temple,Fort,1590,937899,Medium,November to January,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,268,A popular tourist destination and UNESCO site.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Maharashtra,Ajanta Caves,Temple,647,615953,Medium,October to December,Yes,Mumbai,Mumbai,20.5526,75.7033,463,A popular tourist destination and UNESCO site.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Uttar Pradesh,Taj Mahal,Fort,1617,1807025,High,June to August,No,Agra,Agra,27.1751,78.0421,471,An ancient structure that reflects traditional craftsmanship.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Maharashtra,Ajanta Caves,Fort,1829,1218827,High,July to September,Yes,Mumbai,Mumbai,20.5526,75.7033,248,A historic site known for its architectural beauty.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Maharashtra,Ajanta Caves,Monument,824,1792723,High,August to October,Yes,Mumbai,Mumbai,20.5526,75.7033,480,A historic site known for its architectural beauty.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Gujarat,Rani ki Vav,Monument,505,1193128,High,July to September,No,Ahmedabad,Ahmedabad,23.8594,72.1343,275,An ancient structure that reflects traditional craftsmanship.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Karnataka,Mysore Palace,Monument,1681,1305380,High,June to August,Yes,Mysuru,Mysuru,12.3052,76.6552,190,A popular tourist destination and UNESCO site.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Rajasthan,Amber Fort,Fort,1908,137689,Medium,July to September,No,Jaipur,Jaipur,26.9855,75.85,3,A popular tourist destination and UNESCO site.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Maharashtra,Ajanta Caves,Fort,748,970252,Medium,July to September,Yes,Mumbai,Mumbai,20.5526,75.7033,208,An ancient structure that reflects traditional craftsmanship.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Delhi,Qutub Minar,Fort,503,615166,Medium,May to July,Yes,New Delhi,Delhi,28.5244,77.1855,285,Famous for its intricate carvings and historical relevance.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Tamil Nadu,Brihadeeswarar Temple,Monument,1704,1677508,High,June to August,No,Chennai,Chennai,10.7828,79.1316,106,A historic site known for its architectural beauty.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Odisha,Konark Sun Temple,Temple,959,1442028,High,October to December,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,427,A historic site known for its architectural beauty.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Delhi,Qutub Minar,Museum,728,630672,Medium,October to December,No,New Delhi,Delhi,28.5244,77.1855,89,A historic site known for its architectural beauty.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Karnataka,Mysore Palace,Temple,1718,671416,Medium,December to February,Yes,Mysuru,Mysuru,12.3052,76.6552,44,A historic site known for its architectural beauty.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Uttar Pradesh,Taj Mahal,Fort,578,1527077,High,June to August,No,Agra,Agra,27.1751,78.0421,350,Famous for its intricate carvings and historical relevance.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Tamil Nadu,Brihadeeswarar Temple,Fort,704,1812743,High,September to November,Yes,Chennai,Chennai,10.7828,79.1316,113,A popular tourist destination and UNESCO site.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Rajasthan,Amber Fort,Monument,1608,1781717,High,September to November,Yes,Jaipur,Jaipur,26.9855,75.85,479,A popular tourist destination and UNESCO site.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Madhya Pradesh,Gwalior Fort,Fort,1777,1377358,High,February to April,No,Gwalior,Gwalior,26.215,78.193,457,An ancient structure that reflects traditional craftsmanship.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Maharashtra,Ajanta Caves,Museum,945,655064,Medium,May to July,No,Mumbai,Mumbai,20.5526,75.7033,385,A popular tourist destination and UNESCO site.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Maharashtra,Ajanta Caves,Monument,1587,1279077,High,October to December,Yes,Mumbai,Mumbai,20.5526,75.7033,217,A historic site known for its architectural beauty.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Gujarat,Rani ki Vav,Museum,981,985273,Medium,March to May,Yes,Ahmedabad,Ahmedabad,23.8594,72.1343,78,A historic site known for its architectural beauty.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Madhya Pradesh,Gwalior Fort,Museum,1646,112620,Medium,August to October,Yes,Gwalior,Gwalior,26.215,78.193,122,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
West Bengal,Victoria Memorial,Temple,854,1132642,High,July to September,No,Kolkata,Kolkata,22.5448,88.3426,175,A historic site known for its architectural beauty.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Delhi,Qutub Minar,Fort,715,1025065,High,September to November,No,New Delhi,Delhi,28.5244,77.1855,47,Famous for its intricate carvings and historical relevance.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
West Bengal,Victoria Memorial,Fort,1904,1682919,High,February to April,No,Kolkata,Kolkata,22.5448,88.3426,103,A historic site known for its architectural beauty.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
West Bengal,Victoria Memorial,Temple,1035,1899946,High,February to April,Yes,Kolkata,Kolkata,22.5448,88.3426,250,A cultural landmark with centuries-old heritage.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Karnataka,Mysore Palace,Fort,1907,39190,Low,March to May,Yes,Mysuru,Mysuru,12.3052,76.6552,372,A historic site known for its architectural beauty.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
West Bengal,Victoria Memorial,Museum,1639,556733,Medium,February to April,No,Kolkata,Kolkata,22.5448,88.3426,374,A cultural landmark with centuries-old heritage.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Gujarat,Rani ki Vav,Monument,893,1090386,High,October to December,No,Ahmedabad,Ahmedabad,23.8594,72.1343,412,A historic site known for its architectural beauty.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Madhya Pradesh,Gwalior Fort,Fort,1909,1563679,High,September to November,Yes,Gwalior,Gwalior,26.215,78.193,424,Famous for its intricate carvings and historical relevance.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Tamil Nadu,Brihadeeswarar Temple,Monument,1626,1175054,High,June to August,Yes,Chennai,Chennai,10.7828,79.1316,23,A historic site known for its architectural beauty.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Maharashtra,Ajanta Caves,Museum,810,948022,Medium,September to November,Yes,Mumbai,Mumbai,20.5526,75.7033,371,A popular tourist destination and UNESCO site.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
West Bengal,Victoria Memorial,Fort,1042,1383577,High,July to September,No,Kolkata,Kolkata,22.5448,88.3426,377,Famous for its intricate carvings and historical relevance.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Odisha,Konark Sun Temple,Fort,1590,937899,Medium,November to January,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,268,A popular tourist destination and UNESCO site.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Delhi,Qutub Minar,Temple,1770,1864513,High,September to November,Yes,New Delhi,Delhi,28.5244,77.1855,469,A cultural landmark with centuries-old heritage.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Odisha,Konark Sun Temple,Temple,1855,265180,Medium,December to February,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,357,A historic site known for its architectural beauty.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Delhi,Qutub Minar,Monument,1322,1994023,High,January to March,No,New Delhi,Delhi,28.5244,77.1855,159,A cultural landmark with centuries-old heritage.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
West Bengal,Victoria Memorial,Fort,1705,1008757,High,September to November,No,Kolkata,Kolkata,22.5448,88.3426,204,An ancient structure that reflects traditional craftsmanship.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
West Bengal,Victoria Memorial,Monument,1434,1199988,High,July to September,Yes,Kolkata,Kolkata,22.5448,88.3426,250,An ancient structure that reflects traditional craftsmanship.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Karnataka,Mysore Palace,Monument,877,120743,Medium,June to August,Yes,Mysuru,Mysuru,12.3052,76.6552,23,A cultural landmark with centuries-old heritage.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Odisha,Konark Sun Temple,Fort,1140,1686021,High,September to November,Yes,Bhubaneswar,Bhubaneswar,19.8876,86.0945,131,A cultural landmark with centuries-old heritage.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Karnataka,Mysore Palace,Fort,1481,669712,Medium,July to September,No,Mysuru,Mysuru,12.3052,76.6552,402,A historic site known for its architectural beauty.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Karnataka,Mysore Palace,Monument,1681,1305380,High,June to August,Yes,Mysuru,Mysuru,12.3052,76.6552,190,A popular tourist destination and UNESCO site.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Rajasthan,Amber Fort,Monument,546,1774915,High,August to October,Yes,Jaipur,Jaipur,26.9855,75.85,389,A cultural landmark with centuries-old heritage.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Tamil Nadu,Brihadeeswarar Temple,Temple,1373,1788163,High,October to December,Yes,Chennai,Chennai,10.7828,79.1316,176,Famous for its intricate carvings and historical relevance.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Maharashtra,Ajanta Caves,Museum,871,1523933,High,December to February,Yes,Mumbai,Mumbai,20.5526,75.7033,236,A popular tourist destination and UNESCO site.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Uttar Pradesh,Taj Mahal,Fort,1650,921860,Medium,December to February,Yes,Agra,Agra,27.1751,78.0421,242,Famous for its intricate carvings and historical relevance.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Rajasthan,Amber Fort,Fort,984,971799,Medium,September to November,No,Jaipur,Jaipur,26.9855,75.85,118,An ancient structure that reflects traditional craftsmanship.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Madhya Pradesh,Gwalior Fort,Museum,1865,1401994,High,December to February,Yes,Gwalior,Gwalior,26.215,78.193,331,A historic site known for its architectural beauty.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
West Bengal,Victoria Memorial,Monument,1155,1502333,High,December to February,No,Kolkata,Kolkata,22.5448,88.3426,471,Famous for its intricate carvings and historical relevance.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Karnataka,Mysore Palace,Monument,999,1751745,High,July to September,No,Mysuru,Mysuru,12.3052,76.6552,253,Famous for its intricate carvings and historical relevance.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
West Bengal,Victoria Memorial,Monument,1014,1341566,High,May to July,No,Kolkata,Kolkata,22.5448,88.3426,318,A popular tourist destination and UNESCO site.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Maharashtra,Ajanta Caves,Fort,1434,549063,Medium,October to December,No,Mumbai,Mumbai,20.5526,75.7033,107,A popular tourist destination and UNESCO site.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Gujarat,Rani ki Vav,Temple,1034,603951,Medium,August to October,No,Ahmedabad,Ahmedabad,23.8594,72.1343,342,A popular tourist destination and UNESCO site.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Karnataka,Mysore Palace,Fort,1907,39190,Low,March to May,Yes,Mysuru,Mysuru,12.3052,76.6552,372,A historic site known for its architectural beauty.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Delhi,Qutub Minar,Fort,503,615166,Medium,May to July,Yes,New Delhi,Delhi,28.5244,77.1855,285,Famous for its intricate carvings and historical relevance.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Madhya Pradesh,Gwalior Fort,Museum,1814,1629448,High,August to October,Yes,Gwalior,Gwalior,26.215,78.193,219,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Madhya Pradesh,Gwalior Fort,Museum,1623,1598874,High,October to December,Yes,Gwalior,Gwalior,26.215,78.193,181,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Odisha,Konark Sun Temple,Monument,672,211135,Medium,August to October,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,22,An ancient structure that reflects traditional craftsmanship.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Maharashtra,Ajanta Caves,Monument,1698,1983842,High,February to April,Yes,Mumbai,Mumbai,20.5526,75.7033,485,Famous for its intricate carvings and historical relevance.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Delhi,Qutub Minar,Monument,671,1658118,High,June to August,Yes,New Delhi,Delhi,28.5244,77.1855,41,A cultural landmark with centuries-old heritage.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Uttar Pradesh,Taj Mahal,Fort,1617,1807025,High,June to August,No,Agra,Agra,27.1751,78.0421,471,An ancient structure that reflects traditional craftsmanship.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
West Bengal,Victoria Memorial,Monument,1928,487437,Medium,October to December,No,Kolkata,Kolkata,22.5448,88.3426,248,A historic site known for its architectural beauty.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Maharashtra,Ajanta Caves,Fort,748,970252,Medium,July to September,Yes,Mumbai,Mumbai,20.5526,75.7033,208,An ancient structure that reflects traditional craftsmanship.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Rajasthan,Amber Fort,Fort,1844,1243824,High,September to November,No,Jaipur,Jaipur,26.9855,75.85,211,An ancient structure that reflects traditional craftsmanship.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Karnataka,Mysore Palace,Museum,1412,112471,Medium,March to May,No,Mysuru,Mysuru,12.3052,76.6552,470,A cultural landmark with centuries-old heritage.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Tamil Nadu,Brihadeeswarar Temple,Fort,670,1390067,High,August to October,Yes,Chennai,Chennai,10.7828,79.1316,316,A cultural landmark with centuries-old heritage.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
West Bengal,Victoria Memorial,Fort,1670,1012814,High,January to March,No,Kolkata,Kolkata,22.5448,88.3426,167,A historic site known for its architectural beauty.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Maharashtra,Ajanta Caves,Monument,1698,1983842,High,February to April,Yes,Mumbai,Mumbai,20.5526,75.7033,485,Famous for its intricate carvings and historical relevance.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Karnataka,Mysore Palace,Monument,1512,353241,Medium,August to October,Yes,Mysuru,Mysuru,12.3052,76.6552,447,An ancient structure that reflects traditional craftsmanship.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
West Bengal,Victoria Memorial,Museum,1715,85676,Low,September to November,No,Kolkata,Kolkata,22.5448,88.3426,278,An ancient structure that reflects traditional craftsmanship.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Madhya Pradesh,Gwalior Fort,Museum,1646,112620,Medium,August to October,Yes,Gwalior,Gwalior,26.215,78.193,122,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Karnataka,Mysore Palace,Fort,1481,669712,Medium,July to September,No,Mysuru,Mysuru,12.3052,76.6552,402,A historic site known for its architectural beauty.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Gujarat,Rani ki Vav,Temple,1269,905042,Medium,September to November,No,Ahmedabad,Ahmedabad,23.8594,72.1343,498,A historic site known for its architectural beauty.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
West Bengal,Victoria Memorial,Fort,1731,1183043,High,January to March,No,Kolkata,Kolkata,22.5448,88.3426,191,A cultural landmark with centuries-old heritage.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Maharashtra,Ajanta Caves,Monument,1250,308481,Medium,August to October,No,Mumbai,Mumbai,20.5526,75.7033,446,A cultural landmark with centuries-old heritage.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Madhya Pradesh,Gwalior Fort,Museum,1628,643980,Medium,October to December,No,Gwalior,Gwalior,26.215,78.193,137,Famous for its intricate carvings and historical relevance.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Gujarat,Rani ki Vav,Monument,1060,593178,Medium,June to August,No,Ahmedabad,Ahmedabad,23.8594,72.1343,398,A historic site known for its architectural beauty.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Madhya Pradesh,Gwalior Fort,Fort,633,1868744,High,October to December,Yes,Gwalior,Gwalior,26.215,78.193,102,A popular tourist destination and UNESCO site.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
West Bengal,Victoria Memorial,Museum,1715,85676,Low,September to November,No,Kolkata,Kolkata,22.5448,88.3426,278,An ancient structure that reflects traditional craftsmanship.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Odisha,Konark Sun Temple,Museum,1576,954312,Medium,May to July,Yes,Bhubaneswar,Bhubaneswar,19.8876,86.0945,208,A popular tourist destination and UNESCO site.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Karnataka,Mysore Palace,Monument,727,812985,Medium,November to January,Yes,Mysuru,Mysuru,12.3052,76.6552,267,An ancient structure that reflects traditional craftsmanship.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Karnataka,Mysore Palace,Museum,1412,112471,Medium,March to May,No,Mysuru,Mysuru,12.3052,76.6552,470,A cultural landmark with centuries-old heritage.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Delhi,Qutub Minar,Monument,914,1728971,High,January to March,No,New Delhi,Delhi,28.5244,77.1855,370,A popular tourist destination and UNESCO site.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Odisha,Konark Sun Temple,Temple,1855,265180,Medium,December to February,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,357,A historic site known for its architectural beauty.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Rajasthan,Amber Fort,Fort,1908,137689,Medium,July to September,No,Jaipur,Jaipur,26.9855,75.85,3,A popular tourist destination and UNESCO site.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Karnataka,Mysore Palace,Fort,1920,1889258,High,February to April,Yes,Mysuru,Mysuru,12.3052,76.6552,92,Famous for its intricate carvings and historical relevance.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Odisha,Konark Sun Temple,Monument,1248,730834,Medium,October to December,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,259,A cultural landmark with centuries-old heritage.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Madhya Pradesh,Gwalior Fort,Fort,1729,271573,Medium,July to September,No,Gwalior,Gwalior,26.215,78.193,282,Famous for its intricate carvings and historical relevance.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Rajasthan,Amber Fort,Fort,933,561952,Medium,September to November,Yes,Jaipur,Jaipur,26.9855,75.85,389,A cultural landmark with centuries-old heritage.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Delhi,Qutub Minar,Temple,1808,908626,Medium,June to August,No,New Delhi,Delhi,28.5244,77.1855,393,Famous for its intricate carvings and historical relevance.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Rajasthan,Amber Fort,Museum,1001,1047208,High,June to August,No,Jaipur,Jaipur,26.9855,75.85,434,A popular tourist destination and UNESCO site.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Gujarat,Rani ki Vav,Monument,874,55489,Low,April to June,No,Ahmedabad,Ahmedabad,23.8594,72.1343,400,An ancient structure that reflects traditional craftsmanship.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Odisha,Konark Sun Temple,Fort,864,554621,Medium,October to December,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,325,A historic site known for its architectural beauty.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Maharashtra,Ajanta Caves,Temple,1104,962950,Medium,October to December,Yes,Mumbai,Mumbai,20.5526,75.7033,261,An ancient structure that reflects traditional craftsmanship.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Karnataka,Mysore Palace,Monument,877,120743,Medium,June to August,Yes,Mysuru,Mysuru,12.3052,76.6552,23,A cultural landmark with centuries-old heritage.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
